FIPS,State,County,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults Reporting Currently Smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,% Children in Single-Parent Households,Social Association Rate,Injury Death Rate,Average Daily PM2.5,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Rate,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance.1,Segregation Index,School Funding Adequacy,Gender Pay Gap,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index.1,% Household Income Required for Child Care Expenses,"Child Care Centers per 1,000 Children",Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Motor Vehicle Mortality Rate,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,% Homeowners,% Households with Severe Cost Burden,% Households with Broadband Access,Population,% Less than 18 Years of Age,% 65 and Over,% Black,% American Indian or Alaska Native,% Asian,% Native Hawaiian or Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural
17027,Illinois,Clinton,422.0,5474.743143,13.8,3.4896902592,4.6077984916,7.1504050722,16.7,34.8,9.0,25.8,63.809317326,18.658611783,14.285714286,255.5,12.080727686,6.0708793513,32.614900000000006,32.5124,56.89669000000001,3335.0,48.0,43.0,92.001063991,68.801848157,2.9514757379,9.2,3.9198674371,16.250475345,13.045959829,61.49535309,8.8,Yes,9.1812264474,79.892449274,39.5,79.74591402,293.4265618,37.567911224,,10.6,15.5,8.7,83.2,7.0,3.7409996199,12.527627894,32.7,7.1301675709,3.3655611308,86.69972,,8.2423580786,3.378570166,3.327584331,0.1305487303,-3699.384446,0.7352486643,79612.0,32.037209302,75.364433288,21.156358338,5.7443752992,,9.1380991558,6.9516486102,17.522407731,9.1666666667,65.471311475,73.9,14.192289162,79.555647554,7.8303081469,87.890705858,36909.0,21.236012897,18.662114931,3.2431114362,0.4036955756,0.6556666396,0.0839903547,3.541141727,91.007613319,0.5351572561,47.787802433,80.216266023
42071,Pennsylvania,Lancaster,6152.0,6502.7548174,15.1,3.6270818665,4.8274091497,6.4049039774,16.7,35.2,8.8,23.4,80.948635042,17.168046025,22.709163347,247.3,11.167537125,11.306446833,72.24755,59.1058,191.33031,2186.0,53.0,60.0,86.95784394,59.649109928,3.5244872909,11.9,3.7790205404,15.501977333,13.799281859,75.145642724,11.1,Yes,14.051126198,74.112553797,29.9,79.275021418,314.90264009,49.140135381,5.4139546201,11.0,15.6,8.2,173.8,7.4,4.8538426167,24.733101276,36.8,11.266152832,11.306697722,114.79819,89.158999038,5.6791389031,3.233972825,3.130470251,0.1516261708,5941.1930625,0.7557153306,82434.0,45.626561942,62.982216471,30.232670985,4.200845846,2.2589063951,10.691763354,8.4918602591,10.086279718,8.4330985915,69.18456525,75.9,104.29602515,69.948992287,11.788695039,85.387677761,556629.0,22.864601018,19.735586899,3.722587217,0.4748225479,2.7781520546,0.1147981869,11.589406948,80.193629868,2.1500772431,50.747266132,27.875490068
46003,South Dakota,Aurora,,,11.6,2.7219202503,3.6343904338,6.0283687943,17.0,38.8,7.8,23.1,3.3491081179,21.089477282,60.0,218.3,22.336769759,13.614800759,,0.0,72.59528,2118.0,52.0,31.0,91.299303944,73.166368515,1.8779342723,14.7,3.3142937853,15.384615385,10.917030568,,4.7,No,5.3333333333,75.939306358,25.5,76.434595379,403.59216064,,,8.9,12.8,8.2,,6.0,16.918053895,,29.6,14.753004005,11.163522013,145.19056,,,,3.1642977,0.1897395482,-1155.78,0.7837847534,61013.0,33.495934959,,20.880795896,10.526315789,,,,,23.333333333,73.560209424,55.1,5.3168336212,76.638176638,7.7630234934,78.252611586,2755.0,24.609800363,21.12522686,0.9074410163,2.9038112523,0.943738657,0.0,8.4573502722,85.880217786,1.6155758078,48.566243194,100.0
46027,South Dakota,Clay,152.0,7030.1285952,12.3,2.9041852291,4.0508460454,6.4794816415,16.3,35.6,7.6,22.2,85.56825015,22.062376981,28.571428571,567.7,5.7211683228,13.246101452,46.20462,58.90052000000001,78.53403,1616.0,50.0,60.0,93.400599945,72.090792839,2.1417920564,17.1,5.0,24.854142357,13.861386139,54.547743262,5.8,Yes,19.581749049,71.909959072,24.3,77.829503556,397.71117118,,,9.4,13.5,9.2,75.8,9.8,11.069810333,,28.4,15.018186085,7.7733381765,137.43455,77.5,,3.195729909,3.021214672,0.015972274,-629.3447,0.7438831057,55263.0,22.611464968,22.858066112,27.781698424,7.5949367089,,,,12.054607371,35.454545455,50.536585366,65.7,86.05995609,51.089364845,16.62443968,89.844903988,15280.0,16.95026178,12.62434555,1.7604712042,4.0117801047,2.7290575916,0.0654450262,3.3311518325,86.302356021,0.4065325577,50.42539267,22.10195764
13205,Georgia,Mitchell,507.0,11623.906382,25.3,4.8409811876,5.4686602735,12.289156627,22.8,42.2,6.8,34.5,59.9172604,13.35415138,16.666666667,817.8,37.430683919,17.43107363,46.46624,14.20724,445.16007,3929.0,50.0,36.0,83.451327434,53.272796065,3.9684466019,32.8,6.1626845446,53.611393693,9.7579108777,84.954782132,9.7,No,17.456359102,84.045811693,39.4,72.793653947,634.30308011,83.939563514,,15.4,18.8,15.9,581.3,15.0,7.9440939229,,41.0,21.882137963,6.6425377901,61.56468999999999,88.611111111,,2.765391025,2.800438442,0.1790609215,-17591.665,0.6910943801,45296.0,,52.01144632,25.927234193,12.251148545,11.650259218,14.189988464,20.096830182,26.536701553,,53.574417215,51.7,20.260254998,63.604240283,15.178571429,77.801615346,21116.0,22.589505588,18.407842394,45.870430006,0.6724758477,0.9755635537,0.0663004357,5.4792574351,46.126160258,0.7257036383,49.720591021,75.775683751
47005,Tennessee,Benton,466.0,13817.894749,22.1,4.7972075628,6.3899919327,7.4372759857,26.2,35.3,6.8,34.3,56.738527484,13.07716785,25.0,233.1,35.738831615,13.834788449,25.20161,24.99688,43.74453,3059.0,39.0,37.0,84.677767233,47.484780519,4.1154700222,24.8,4.4121060137,23.039845758,10.710685484,155.6023054,7.3,No,11.004431315,84.264655468,35.5,71.300065515,680.29798678,,,15.0,21.1,12.0,139.5,16.0,5.7688721062,37.373087225,34.8,16.907992247,5.3766707169,137.48281,97.5,,2.899259869,2.815049013,0.0319809017,-5073.831,0.8327231464,50635.0,,46.148773411,27.103781969,6.6137566138,,26.699897174,31.120461081,32.895906682,,56.300891819,57.4,6.2760719192,73.93111639,8.3746997598,75.118764846,16002.0,20.428696413,24.215723035,2.3684539433,0.8061492313,0.6311711036,0.0187476565,2.8621422322,91.869766279,0.0,50.599925009,100.0
40111,Oklahoma,Okmulgee,936.0,14613.884584,22.9,4.5959889229,5.8563374811,9.0087181143,23.4,42.8,6.0,33.0,58.848689588,13.303773604,36.363636364,610.7,31.827286891,18.433083232,29.85642,62.17897,335.22574000000003,2819.0,32.0,29.0,87.169826608,53.406998158,4.1861358254,25.8,4.5059775281,31.796594463,11.942567109,120.01656124,9.1,Yes,13.349265961,78.408394086,42.6,70.757485518,701.18114431,89.813636704,9.8101265823,14.3,20.1,12.8,127.0,15.0,16.190550447,26.42194078,36.8,22.948711608,7.9136690647,70.28927,84.330708661,9.1817316841,2.957070749,2.94425132,0.0575018157,-4864.081,0.7544054149,45754.0,64.775876121,52.933825997,31.555710976,16.92589204,15.229916013,24.643602999,29.349028075,20.430375139,,48.975192472,53.8,27.948599422,70.27104341,11.26931233,79.97568476,36990.0,23.387402001,18.618545553,7.6804541768,17.134360638,0.6920789403,0.0729927007,5.0473100838,61.208434712,0.3448672261,50.213571235,53.078515774
38037,North Dakota,Grant,,,13.9,3.1784167478,3.8969091687,6.7415730337,17.4,39.4,8.4,24.9,27.335940895,17.963183828,100.0,172.2,,8.9743589744,,44.58315,222.91574,8082.0,38.0,23.0,91.806116561,78.620689655,1.9656019656,31.0,5.372873301,17.898832685,0.0,103.78827193,4.4,No,8.3333333333,64.796905222,23.4,75.767850746,439.96097744,,,9.9,14.1,8.7,,4.2,15.741402649,,30.8,9.652173913,7.4297188755,267.49889,,,2.403985035,3.082989453,,-1302.639,0.8980552459,43988.0,37.168141593,,33.943348186,,,,,,,77.366946779,46.7,1.3237815257,86.226415094,9.4994892748,77.924528302,2243.0,20.196165849,32.010699955,0.1337494427,1.9170753455,0.4458314757,0.0445831476,1.8279090504,93.713776193,0.5439709882,50.378956754,100.0
55035,Wisconsin,Eau Claire,1122.0,6050.9679477,11.9,3.1722917274,4.9298771816,6.604969574,14.7,31.9,8.4,19.0,85.477249078,25.875464068,35.714285714,378.6,6.7300353847,5.9707440574,141.84797,101.08857,402.48229,3425.0,59.0,60.0,96.069175388,75.717956469,2.5159864743,10.2,3.8661917021,18.43241448,12.775711119,78.350932109,7.7,Yes,12.872596154,78.324489184,14.5,78.870217748,313.71794938,36.15858962,5.0093926111,9.5,14.7,7.7,54.8,7.8,7.5831329516,16.437074454,30.5,6.7311442165,3.786822577,257.40146,87.831349206,3.3927056828,3.101412054,3.103401478,0.0448757039,1441.8645,0.7768804159,70564.0,37.788790396,56.155546082,36.246527975,10.140544387,,16.377883275,11.056822536,8.3603674724,7.7380952381,71.258253852,78.5,210.86932423,63.517807961,9.7032840407,89.640074386,106837.0,19.628967493,17.304866292,1.1372464596,0.6289955727,4.3758248547,0.1984331271,2.9456087311,89.019721632,0.7809461117,50.293437667,23.727178129
6023,California,Humboldt,2279.0,9031.7556836,17.4,4.0669044447,6.2382124278,6.2359850507,15.6,33.2,7.4,20.0,88.949385548,18.962153547,42.276422764,350.7,10.890929596,7.4047554841,60.89061999999999,82.21612999999999,588.84527,1891.0,30.0,38.0,91.26500876,68.227153023,3.9868951613,20.5,5.1087534275,24.337774295,8.6567383171,105.15138859,6.8,No,24.667405765,69.4121076,18.3,76.4417762,448.99906772,43.799842982,5.4138469547,12.4,18.3,10.1,198.9,13.9,4.5402601268,33.427963967,34.8,8.7550484161,3.2231466907,131.84208999999998,90.129100084,11.305425503,2.761261517,2.555613493,0.143850818,-5287.681856,0.8231296206,57660.0,59.281369037,71.876233537,42.761012834,9.2686459088,8.0853052203,20.027297397,14.559423035,18.480697646,,64.38137099,60.8,158.20096181,56.821726764,20.747125341,88.775116983,135010.0,18.516406192,19.989630398,1.2858306792,6.4187837938,3.113843419,0.3733056811,13.225686986,72.056884675,1.7226741583,50.420709577,31.534555154
