FIPS,State,County,% Adults with Diabetes,% Completed High School,School Funding Adequacy,% Non-Hispanic White,% Voter Turnout,Food Environment Index,Median Household Income,% Excessive Drinking,% Households with Broadband Access,% with Annual Mammogram,% Census Participation,% Vaccinated,% Homeowners,% With Access to Exercise Opportunities,% Severe Housing Problems,Average Daily PM2.5,% Unemployed,% Uninsured,Income Ratio,% Black,% Adults Reporting Currently Smoking,% Frequent Mental Distress,% Adults with Obesity,% Children in Single-Parent Households,% Insufficient Sleep,% Food Insecure,% Children in Poverty,% Frequent Physical Distress,% Physically Inactive
1001,Alabama,Autauga,10.7,90.402607744,-3606.782,72.051071805,66.18207817,6.7,70148.0,15.237821506,89.066702528,40.0,68.8,37.0,75.452752376,54.491964969,15.375695733,10.0,2.2695882638,10.018560444,4.6376753942,21.011061095,16.9,18.0,38.9,22.702506357,37.5,13.3,15.7,11.7,29.1
1003,Alabama,Baldwin,9.8,91.599310271,-537.1533,82.978473025,65.290948597,7.5,71704.0,16.422563558,88.920948878,44.0,56.4,42.0,77.870531486,63.129349735,12.427866024,7.6,2.3500471565,10.997066659,4.4824492469,8.224886887,15.0,17.3,37.2,19.051287249,35.1,11.8,16.1,11.0,27.6
1005,Alabama,Barbour,15.6,76.492220651,-23626.58,45.272403465,54.021571649,6.0,41151.0,12.277197935,68.223158829,42.0,54.5,35.0,64.973380657,54.854696111,15.075107296,9.4,4.0650406504,12.677634294,5.5767967895,47.195013357,25.0,20.5,43.4,50.66045066,43.9,17.8,37.7,15.8,40.2
1007,Alabama,Bibb,12.4,78.863422292,-6970.646,73.996818905,54.563548479,7.6,54309.0,14.785821004,79.711751663,36.0,56.0,28.0,75.734478936,43.390301888,12.258953168,9.8,2.5097410039,11.379928315,5.66923661,20.736196319,22.0,19.4,39.6,30.713370355,40.0,14.9,25.5,14.0,36.0
1009,Alabama,Blount,10.5,81.75515104,-2788.999,85.99274096,64.187994416,7.7,60553.0,14.946114821,82.724498289,35.0,66.7,36.0,79.274946823,41.355227111,10.657863711,9.6,2.2251511862,12.819977886,4.6119463633,1.7273827127,19.6,18.8,37.7,22.969477496,37.3,13.7,15.8,12.8,30.4
1011,Alabama,Bullock,18.7,73.378982672,-38452.98,21.75063713,59.065300896,4.2,35798.0,11.528829497,61.014492754,51.0,48.8,28.0,64.666666667,42.34817032,9.6209912536,9.3,2.8107158542,12.214645716,7.1458197788,67.339737306,25.7,20.5,48.9,63.046479521,46.0,15.6,39.0,16.6,43.6
1013,Alabama,Butler,14.0,87.592341324,-15080.51,50.766756032,62.917771883,7.2,41852.0,12.821131413,78.51633712,39.0,55.8,29.0,70.775487309,42.722166815,11.503759398,9.1,3.4189004998,11.90345207,4.8787334497,44.18766756,21.1,19.9,42.0,39.277279169,40.9,13.8,33.0,14.1,36.5
1015,Alabama,Calhoun,12.0,85.071771547,-10277.2302,70.200711645,57.856332274,5.9,52772.0,13.539905755,83.341910366,33.0,63.6,34.0,70.914908375,66.693862128,10.567646399,9.7,3.0320762896,13.217085581,4.8759708167,22.026462155,20.8,19.1,38.9,32.719158171,38.1,15.6,26.2,13.5,34.1
1017,Alabama,Chambers,13.4,83.457459726,-26351.235,54.450246421,58.525751484,7.2,45563.0,12.8128424,78.163280834,30.0,58.3,41.0,72.175302442,63.752444496,16.126656848,9.8,2.5732755915,12.62688232,4.7377073171,39.274818118,20.3,19.5,43.9,25.327206906,43.4,13.3,30.6,13.7,35.0
1019,Alabama,Cherokee,11.1,81.925174108,-1664.026,91.036281717,59.511369134,7.2,52613.0,14.357290225,77.823347004,35.0,45.7,43.0,79.743923177,38.208321653,7.4296262114,9.5,2.3426812585,12.984078609,4.5207715832,3.9878270492,22.2,20.1,37.8,29.291640077,38.2,14.7,22.7,13.8,32.8
