FIPS,State,County,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults Reporting Currently Smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,% Children in Single-Parent Households,Social Association Rate,Injury Death Rate,Average Daily PM2.5,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Rate,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance.1,Segregation Index,School Funding Adequacy,Gender Pay Gap,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index.1,% Household Income Required for Child Care Expenses,"Child Care Centers per 1,000 Children",Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Motor Vehicle Mortality Rate,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,% Homeowners,% Households with Severe Cost Burden,% Households with Broadband Access,Population,% Less than 18 Years of Age,% 65 and Over,% Black,% American Indian or Alaska Native,% Asian,% Native Hawaiian or Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural
1000,Alabama,,98140.0,11415.734833,17.8,3.9347354029,5.869319841,10.480008036,17.9,40.6,5.4,29.9,61.333795357,14.477525956,25.126368997,625.2,24.929880741,11.693350508,63.65235,49.60294,135.09263,3280.0,41.0,39.0,87.715399064,61.60416166,2.5967657552,21.8,5.212687998,30.587529933,11.694729852,90.379698685,9.3,,13.081246806,82.825024031,35.2,73.707860971,548.75617143,73.033842146,7.7301098515,12.366650719,19.578268617,13.3,339.7,14.8,8.7605485297,21.561301977,39.243009616,14.628907893,4.114098834,115.60224,90.758057932,8.0182875123,2.885602535,2.72218766,0.2749319439,-7911.501,0.7448232257,59703.0,49.174079812,57.393382221,26.604068858,5.5092316855,12.131184127,16.234751745,23.226340034,20.588369126,12.262096774,62.63600041,,67.328709128,69.719990689,12.266376003,83.78641078,5074296.0,21.905738254,18.026796229,26.430898,0.7158628507,1.5886932887,0.1094930213,4.9317777284,64.711715674,1.0474984777,51.375323789,42.262760488
1001,Alabama,Autauga,942.0,9407.9484384,17.3,3.9102650589,5.7032041246,9.8713351614,16.9,38.9,6.7,29.1,54.491964969,15.237821506,29.090909091,577.0,20.908880488,10.018560444,43.996950000000005,30.120990000000003,36.81454,3915.0,40.0,37.0,90.402607744,64.147501466,2.2695882638,15.7,4.6376753942,22.702506357,12.691429055,68.033478141,10.0,No,15.375695733,85.427842107,42.9,75.263497074,472.28392277,58.562127528,6.8346860316,11.7,18.0,10.7,218.0,13.3,13.020997971,9.3507647172,37.5,12.407417878,4.0412486065,50.201640000000005,87.0,7.2425051944,3.12696818,2.91727955,0.0515393092,-3606.782,0.7461655149,70148.0,27.998597148,29.38240388,19.73399099,5.7263411694,6.6161632869,17.457479202,17.362710567,18.06721513,4.8387096774,66.18207817,68.8,46.473848192,75.452752376,11.27935868,89.066702528,59759.0,23.22830034,16.410917184,21.011061095,0.4718954467,1.1780652287,0.1221573319,3.3819173681,72.051071805,0.3664855301,51.29603909,40.676813196
1003,Alabama,Baldwin,3789.0,8981.5753533,15.2,3.7309428675,5.3736661513,8.1243184297,15.0,37.2,7.5,27.6,63.129349735,16.422563558,36.144578313,317.6,20.20223706,10.997066659,62.6844,47.07124,110.37393,2799.0,44.0,42.0,91.599310271,65.680418491,2.3500471565,16.1,4.4824492469,19.051287249,9.6533970764,77.507984659,7.6,Yes,12.427866024,81.346998536,37.9,76.738313887,416.21891222,54.035005286,5.3292496172,11.0,17.3,9.8,174.3,11.8,7.936779358,25.729421883,35.1,13.376243331,4.93694306,83.59202,88.651713923,8.2482758621,3.192380762,3.037911538,0.0909458578,-537.1533,0.722548599,71704.0,36.995607613,39.543961115,20.152292759,6.2318238471,3.3882026693,18.790126177,14.343431644,15.833331704,20.305676856,65.290948597,56.4,39.068067272,77.870531486,12.30185411,88.920948878,246435.0,20.803863088,21.928703309,8.224886887,0.8107614584,1.1560857833,0.0665489886,5.0362164465,82.978473025,0.7866579913,51.239069126,37.586455362
1005,Alabama,Barbour,579.0,13138.848362,27.3,5.0234883184,6.0142940199,12.2724909,25.0,43.4,6.0,40.2,54.854696111,12.277197935,31.428571429,729.0,36.618539443,12.677634294,40.05768,32.3808,28.3332,3040.0,42.0,35.0,76.492220651,40.454475189,4.0650406504,37.7,5.5767967895,50.66045066,8.4121134434,85.215853364,9.4,No,15.075107296,82.052511689,36.7,72.377024232,628.25359565,80.039130241,,15.8,20.5,15.6,513.7,17.8,10.433171672,,43.9,16.311468613,3.8976148924,80.952,85.440979955,,2.389161313,2.00862944,0.0388895948,-23626.58,0.7774433388,41151.0,56.565119063,19.078645391,25.459891619,5.303030303,13.005813033,13.426810027,26.529463783,29.404446857,,54.021571649,54.5,34.405649276,64.973380657,10.766269698,68.223158829,24706.0,20.36347446,20.622520845,47.195013357,0.7245203594,0.4695215737,0.2792843844,5.0999757144,45.272403465,1.9806599372,47.122156561,65.919993657
1007,Alabama,Bibb,501.0,12675.434581,22.0,4.552794934,5.8245833931,9.8285714286,22.0,39.6,7.6,36.0,43.390301888,14.785821004,15.384615385,662.9,31.922979478,11.379928315,66.73487999999999,22.72211,49.98864,4651.0,36.0,28.0,78.863422292,38.993511632,2.5097410039,25.5,5.66923661,30.713370355,8.8979846065,99.933080526,9.8,No,12.258953168,87.983630952,53.8,72.251369089,618.32385868,100.87254754,,14.0,19.4,12.4,269.3,14.9,0.4458662133,22.385720895,40.0,14.082111912,3.9496527778,140.87707,88.0,,2.688775131,2.56336673,0.0898022166,-6970.646,0.8088058161,54309.0,48.992197659,32.0713632,23.701412289,5.016722408,9.5358580047,17.050220543,20.521971894,24.793230812,,54.563548479,56.0,8.146790014,75.734478936,10.404280618,79.711751663,22005.0,19.745512384,17.805044308,20.736196319,0.572597137,0.2908429902,0.1317882299,3.1765507839,73.996818905,0.2891817578,46.489434219,100.0
1009,Alabama,Blount,1239.0,11541.495069,18.6,4.2463351824,5.6648506119,7.6043211184,19.6,37.7,7.7,30.4,41.355227111,14.946114821,13.095238095,318.4,25.123231038,12.819977886,20.324859999999997,16.80333,26.88533,2499.0,35.0,36.0,81.75515104,51.975963238,2.2251511862,15.8,4.6119463633,22.969477496,7.6218221236,97.729173191,9.6,No,10.657863711,84.894680764,60.6,73.376568119,573.14085289,61.53320229,7.2217502124,12.8,18.8,10.5,80.7,13.7,2.5122060181,21.173589095,37.3,16.097263378,4.743472447,35.287,97.91962775,9.7330179115,2.901714404,2.781496533,0.1047763317,-2788.999,0.8763786953,60553.0,43.163804491,62.716405012,34.710088683,4.9033746755,5.9116795081,22.219251548,18.238190771,30.543677459,6.7741935484,64.187994416,66.7,14.440234051,79.274946823,9.2465252377,82.724498289,59512.0,22.704664605,19.090267509,1.7273827127,0.6334856836,0.4352063449,0.1310660035,10.070237935,85.99274096,2.1951964359,50.290697674,90.489396963
1011,Alabama,Bullock,229.0,13837.899207,30.7,5.152511842,5.9731447807,15.12195122,25.7,48.9,4.2,43.6,42.34817032,11.528829497,26.923076923,823.6,37.430167598,12.214645716,19.379839999999998,19.604,19.604,2268.0,51.0,28.0,73.378982672,32.728647014,2.8107158542,39.0,7.1458197788,63.046479521,5.8139534884,108.1740225,9.3,No,9.6209912536,88.611035608,45.4,72.100111622,629.71574053,,,16.6,20.5,18.7,616.2,15.6,32.339190387,,46.0,16.35354398,2.9547553093,58.812000000000005,82.5,,2.110535605,1.96826778,0.0090371541,-38452.98,0.6714965293,35798.0,75.814275814,34.584107148,38.669758087,5.376344086,19.470946566,,27.535205727,55.631275903,6.6666666667,59.065300896,48.8,15.968037496,64.666666667,16.338779593,61.014492754,10202.0,21.103705156,17.780827289,67.339737306,0.9311899628,0.3136639875,0.7547539698,9.351107626,21.75063713,1.7612123694,44.589296216,100.0
1013,Alabama,Butler,449.0,12718.633185,23.4,4.6273770571,6.0808851568,13.190383366,21.1,42.0,7.2,36.5,42.722166815,12.821131413,28.333333333,1090.9,34.834992142,11.90345207,26.477439999999998,37.53351,85.79088,3396.0,39.0,29.0,87.592341324,39.171833481,3.4189004998,33.0,4.8787334497,39.277279169,9.0023300148,109.92284854,9.1,Yes,11.503759398,86.083310793,35.2,73.1898895,616.9263042,74.23904974,,14.1,19.9,14.0,377.4,13.8,6.9182869438,17.290269037,40.9,15.080652859,3.9073467478,96.51475,80.0,,2.526134007,2.118341767,0.1212558709,-15080.51,0.7776982601,41852.0,71.062521353,23.850909782,34.165631272,4.5998160074,17.455434095,11.883738132,24.655592197,38.547416959,16.0,62.917771883,55.8,22.233380245,70.775487309,11.583358276,78.51633712,18650.0,22.396782842,21.538873995,44.18766756,0.471849866,1.5013404826,0.0536193029,1.8284182306,50.766756032,0.066938138,53.008042895,69.434675345
1015,Alabama,Calhoun,2735.0,13197.258124,20.8,4.4995565219,5.6966110465,9.5094339623,20.8,38.9,5.9,34.1,66.693862128,13.539905755,10.476190476,545.0,25.979876858,13.217085581,58.634840000000004,64.77355,158.04747,3491.0,33.0,34.0,85.071771547,54.547359598,3.0320762896,26.2,4.8759708167,32.719158171,13.623978202,97.019321704,9.7,No,10.567646399,85.222299481,31.1,71.694077832,645.43447211,65.594982433,7.0716811315,13.5,19.1,12.0,255.2,15.6,15.398072995,23.320487631,38.1,16.572375394,4.2906333424,89.81932,91.971264368,8.1869764928,2.945480411,2.786958409,0.1895589264,-10277.2302,0.7586259223,52772.0,51.176022054,46.056952239,22.746911241,5.5092316855,10.470133943,21.957144442,26.571057476,21.688134596,30.884955752,57.856332274,63.6,56.022748088,70.914908375,11.29611492,83.341910366,115788.0,21.117905137,18.603827685,22.026462155,0.5345977131,0.8826475973,0.1131378036,4.3450098456,70.200711645,0.5042905735,51.35851729,36.49401843
1017,Alabama,Chambers,767.0,12135.481512,22.0,4.5047834942,5.8122116703,13.448534936,20.3,43.9,7.2,35.0,63.752444496,12.8128424,25.0,645.6,30.473135525,12.62688232,40.53154,20.53509,11.73433,3163.0,30.0,41.0,83.457459726,51.833918412,2.5732755915,30.6,4.7377073171,25.327206906,17.66017197,94.64961783,9.8,No,16.126656848,85.552523874,31.1,72.46019745,581.39426085,101.63934426,9.3703148426,13.7,19.5,13.4,359.6,13.3,8.1029884513,14.901649116,43.4,15.678833575,3.902034039,26.40225,86.501724138,17.402164863,2.634106621,2.497681651,0.1316636213,-26351.235,0.7685251875,45563.0,66.435024322,31.21146322,33.428439743,5.8365758755,11.019096943,18.701803096,23.811224611,27.547742357,,58.525751484,58.3,37.197022354,72.175302442,9.9761336516,78.163280834,34088.0,20.719901432,20.725768599,39.274818118,0.4195024642,0.8771415161,0.0938746773,3.5936399906,54.450246421,0.2705527885,52.32046468,50.74485218
