FIPS,State,County,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults Reporting Currently Smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,# Uninsured,% Uninsured,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,# Dentists,Dentist Rate,Dentist Ratio,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,# Completed High School,Population_s,% Completed High School,# Some College,Population.1,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,# Associations,Social Association Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,Presence of Water Violation,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone to Work,# Workers who Drive Alone,% Long Commute - Drives Alone,Life Expectancy,# Deaths,Age-Adjusted Death Rate,# Deaths.1,Child Mortality Rate,# Deaths.2,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,% Insufficient Sleep,# Uninsured Adults,% Uninsured Adults,# Uninsured Children,% Uninsured Children,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance.1,Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index.1,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,# Deaths.3,Suicide Rate (Age-Adjusted),Crude Rate,# Firearm Fatalities,Firearm Fatalities Rate,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Households with Severe Cost Burden,# Households with Broadband Access,% Households with Broadband Access,Population_a,% Less than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural Residents,% Rural
1000,Alabama,,98140.0,11415.734833,17.8,3.9347354029,5.869319841,10.480008036,17.9,40.6,5.4,29.9,61.333795357,14.477525956,1193.0,4748.0,25.126368997,31507.0,625.2,24.929880741,469887.0,11.693350508,3208.0,63.65235,1571:1,2517.0,49.60294,2016:1,6855.0,135.09263,740:1,3280.0,41.0,39.0,3007340.0,3428520.0,87.715399064,779337.0,1265072.0,61.60416166,59363.0,2286036.0,2.5967657552,21.8,122347.0,23471.0,5.212687998,338752.0,1107484.0,30.587529933,5894.0,11.694729852,22258.0,90.379698685,9.3,,13.081246806,11.170151011,1.6650736959,0.8564976,82.825024031,2183677.0,35.2,73.707860971,98140.0,548.75617143,3575.0,73.033842146,3168.0,7.7301098515,12.366650719,19.578268617,13.3,14436.0,339.7,746550.0,14.8,418731.09187,8.7605485297,3205.0,21.561301977,39.243009616,427677.0,14.628907893,47300.0,4.114098834,115.60224,865:1,51440.0,90.758057932,8.0182875123,2.885602535,2.72218766,0.2749319439,10693.48,-7911.501,42408.0,56937.0,0.7448232257,59703.0,49.174079812,57.393382221,26.604068858,,5.5092316855,12.131184127,4082.0,16.234751745,16.575160842,5720.0,23.226340034,7072.0,20.588369126,12.262096774,62.63600041,,67.328709128,1347792.0,69.719990689,225974.0,12.266376003,1619717.0,83.78641078,5074296.0,21.905738254,18.026796229,1341182.0,26.430898,36325.0,0.7158628507,80615.0,1.5886932887,5556.0,0.1094930213,250253.0,4.9317777284,3283664.0,64.711715674,49612.0,1.0474984777,51.375323789,2123399.0,42.262760488
1001,Alabama,Autauga,942.0,9407.9484384,17.3,3.9102650589,5.7032041246,9.8713351614,16.9,38.9,6.7,29.1,54.491964969,15.237821506,16.0,55.0,29.090909091,341.0,577.0,20.908880488,4912.0,10.018560444,26.0,43.996950000000005,2273:1,18.0,30.120990000000003,3320:1,22.0,36.81454,2716:1,3915.0,40.0,37.0,36331.0,40188.0,90.402607744,9846.0,15349.0,64.147501466,608.0,26789.0,2.2695882638,15.7,128241.0,27652.0,4.6376753942,3125.0,13765.0,22.702506357,75.0,12.691429055,192.0,68.033478141,10.0,No,15.375695733,13.208430913,1.6001855288,1.5769944341,85.427842107,27031.0,42.9,75.263497074,942.0,472.28392277,34.0,58.562127528,32.0,6.8346860316,11.7,18.0,10.7,108.0,218.0,7770.0,13.3,7105.6888029,13.020997971,16.0,9.3507647172,37.5,4389.0,12.407417878,580.0,4.0412486065,50.201640000000005,1992:1,620.0,87.0,7.2425051944,3.12696818,2.91727955,0.0515393092,9098.0,-3606.782,44270.0,59330.0,0.7461655149,70148.0,27.998597148,29.38240388,19.73399099,19.0,5.7263411694,6.6161632869,51.0,17.457479202,18.071392631,49.0,17.362710567,71.0,18.06721513,4.8387096774,66.18207817,68.8,46.473848192,16832.0,75.452752376,2406.0,11.27935868,19869.0,89.066702528,59759.0,23.22830034,16.410917184,12556.0,21.011061095,282.0,0.4718954467,704.0,1.1780652287,73.0,0.1221573319,2021.0,3.3819173681,43057.0,72.051071805,203.0,0.3664855301,51.29603909,23920.0,40.676813196
1003,Alabama,Baldwin,3789.0,8981.5753533,15.2,3.7309428675,5.3736661513,8.1243184297,15.0,37.2,7.5,27.6,63.129349735,16.422563558,60.0,166.0,36.144578313,760.0,317.6,20.20223706,20432.0,10.997066659,150.0,62.6844,1595:1,116.0,47.07124,2124:1,272.0,110.37393,906:1,2799.0,44.0,42.0,152991.0,167022.0,91.599310271,35407.0,53908.0,65.680418491,2417.0,102849.0,2.3500471565,16.1,136894.0,30540.0,4.4824492469,9398.0,49330.0,19.051287249,231.0,9.6533970764,870.0,77.507984659,7.6,Yes,12.427866024,10.564772115,1.5229936344,0.6365637456,81.346998536,105865.0,37.9,76.738313887,3789.0,416.21891222,115.0,54.035005286,87.0,5.3292496172,11.0,17.3,9.8,356.0,174.3,26830.0,11.8,14465.970897,7.936779358,178.0,25.729421883,35.1,18101.0,13.376243331,2615.0,4.93694306,83.59202,1196:1,2363.0,88.651713923,8.2482758621,3.192380762,3.037911538,0.0909458578,11638.0,-537.1533,43785.0,60598.0,0.722548599,71704.0,36.995607613,39.543961115,20.152292759,75.0,6.2318238471,3.3882026693,213.0,18.790126177,18.976092796,161.0,14.343431644,243.0,15.833331704,20.305676856,65.290948597,56.4,39.068067272,70708.0,77.870531486,10795.0,12.30185411,80742.0,88.920948878,246435.0,20.803863088,21.928703309,20269.0,8.224886887,1998.0,0.8107614584,2849.0,1.1560857833,164.0,0.0665489886,12411.0,5.0362164465,204488.0,82.978473025,1741.0,0.7866579913,51.239069126,87113.0,37.586455362
1005,Alabama,Barbour,579.0,13138.848362,27.3,5.0234883184,6.0142940199,12.2724909,25.0,43.4,6.0,40.2,54.854696111,12.277197935,11.0,35.0,31.428571429,182.0,729.0,36.618539443,2150.0,12.677634294,10.0,40.05768,2496:1,8.0,32.3808,3088:1,7.0,28.3332,3529:1,3040.0,42.0,35.0,13520.0,17675.0,76.492220651,2617.0,6469.0,40.454475189,335.0,8241.0,4.0650406504,37.7,91716.0,16446.0,5.5767967895,2608.0,5148.0,50.66045066,21.0,8.4121134434,106.0,85.215853364,9.4,No,15.075107296,11.683615819,3.7553648069,0.5364806867,82.052511689,8341.0,36.7,72.377024232,579.0,628.25359565,18.0,80.039130241,,,15.8,20.5,15.6,110.0,513.7,4500.0,17.8,2864.6359459,10.433171672,,,43.9,1967.0,16.311468613,201.0,3.8976148924,80.952,1235:1,449.0,85.440979955,,2.389161313,2.00862944,0.0388895948,8807.0,-23626.58,34611.0,44519.0,0.7774433388,41151.0,56.565119063,19.078645391,25.459891619,7.0,5.303030303,13.005813033,18.0,13.426810027,14.470616609,33.0,26.529463783,52.0,29.404446857,,54.021571649,54.5,34.405649276,5858.0,64.973380657,895.0,10.766269698,6151.0,68.223158829,24706.0,20.36347446,20.622520845,11660.0,47.195013357,179.0,0.7245203594,116.0,0.4695215737,69.0,0.2792843844,1260.0,5.0999757144,11185.0,45.272403465,467.0,1.9806599372,47.122156561,16627.0,65.919993657
1007,Alabama,Bibb,501.0,12675.434581,22.0,4.552794934,5.8245833931,9.8285714286,22.0,39.6,7.6,36.0,43.390301888,14.785821004,4.0,26.0,15.384615385,149.0,662.9,31.922979478,1905.0,11.379928315,15.0,66.73487999999999,1498:1,5.0,22.72211,4401:1,11.0,49.98864,2000:1,4651.0,36.0,28.0,12559.0,15925.0,78.863422292,2464.0,6319.0,38.993511632,219.0,8726.0,2.5097410039,25.5,97063.0,17121.0,5.66923661,1438.0,4682.0,30.713370355,20.0,8.8979846065,112.0,99.933080526,9.8,No,12.258953168,9.0909090909,1.2396694215,1.9972451791,87.983630952,8064.0,53.8,72.251369089,501.0,618.32385868,20.0,100.87254754,,,14.0,19.4,12.4,52.0,269.3,3350.0,14.9,102.17024278,0.4458662133,15.0,22.385720895,40.0,1739.0,14.082111912,182.0,3.9496527778,140.87707,710:1,216.0,88.0,,2.688775131,2.56336673,0.0898022166,10694.0,-6970.646,37603.0,46492.0,0.8088058161,54309.0,48.992197659,32.0713632,23.701412289,6.0,5.016722408,9.5358580047,18.0,17.050220543,16.060673656,23.0,20.521971894,39.0,24.793230812,,54.563548479,56.0,8.146790014,5465.0,75.734478936,700.0,10.404280618,5752.0,79.711751663,22005.0,19.745512384,17.805044308,4563.0,20.736196319,126.0,0.572597137,64.0,0.2908429902,29.0,0.1317882299,699.0,3.1765507839,16283.0,73.996818905,61.0,0.2891817578,46.489434219,22293.0,100.0
1009,Alabama,Blount,1239.0,11541.495069,18.6,4.2463351824,5.6648506119,7.6043211184,19.6,37.7,7.7,30.4,41.355227111,14.946114821,11.0,84.0,13.095238095,188.0,318.4,25.123231038,6145.0,12.819977886,12.0,20.324859999999997,4920:1,10.0,16.80333,5951:1,16.0,26.88533,3720:1,2499.0,35.0,36.0,33370.0,40817.0,81.75515104,7352.0,14145.0,51.975963238,574.0,25796.0,2.2251511862,15.8,113500.0,24610.0,4.6119463633,3108.0,13531.0,22.969477496,45.0,7.6218221236,284.0,97.729173191,9.6,No,10.657863711,8.0260617761,1.8108936572,1.3440226362,84.894680764,24402.0,60.6,73.376568119,1239.0,573.14085289,36.0,61.53320229,34.0,7.2217502124,12.8,18.8,10.5,40.0,80.7,8040.0,13.7,1440.0467337,2.5122060181,37.0,21.173589095,37.3,5541.0,16.097263378,674.0,4.743472447,35.287,2834:1,591.0,97.91962775,9.7330179115,2.901714404,2.781496533,0.1047763317,9137.5,-2788.999,42748.0,48778.0,0.8763786953,60553.0,43.163804491,62.716405012,34.710088683,17.0,4.9033746755,5.9116795081,64.0,22.219251548,22.023475649,53.0,18.238190771,124.0,30.543677459,6.7741935484,64.187994416,66.7,14.440234051,17144.0,79.274946823,1896.0,9.2465252377,17890.0,82.724498289,59512.0,22.704664605,19.090267509,1028.0,1.7273827127,377.0,0.6334856836,259.0,0.4352063449,78.0,0.1310660035,5993.0,10.070237935,51176.0,85.99274096,1222.0,2.1951964359,50.290697674,53510.0,90.489396963
1011,Alabama,Bullock,229.0,13837.899207,30.7,5.152511842,5.9731447807,15.12195122,25.7,48.9,4.2,43.6,42.34817032,11.528829497,7.0,26.0,26.923076923,85.0,823.6,37.430167598,824.0,12.214645716,2.0,19.379839999999998,5160:1,2.0,19.604,5101:1,2.0,19.604,5101:1,2268.0,51.0,28.0,5251.0,7156.0,73.378982672,866.0,2646.0,32.728647014,128.0,4554.0,2.8107158542,39.0,87865.0,12296.0,7.1458197788,1370.0,2173.0,63.046479521,6.0,5.8139534884,55.0,108.1740225,9.3,No,9.6209912536,9.7637795276,1.0204081633,0.0,88.611035608,3679.0,45.4,72.100111622,229.0,629.71574053,,,,,16.6,20.5,18.7,54.0,616.2,1620.0,15.6,3529.4992389,32.339190387,,,46.0,766.0,16.35354398,64.0,2.9547553093,58.812000000000005,1700:1,90.0,82.5,,2.110535605,1.96826778,0.0090371541,11541.0,-38452.98,27667.0,41202.0,0.6714965293,35798.0,75.814275814,34.584107148,38.669758087,3.0,5.376344086,19.470946566,,,,14.0,27.535205727,40.0,55.631275903,6.6666666667,59.065300896,48.8,15.968037496,2231.0,64.666666667,490.0,16.338779593,2105.0,61.014492754,10202.0,21.103705156,17.780827289,6870.0,67.339737306,95.0,0.9311899628,32.0,0.3136639875,77.0,0.7547539698,954.0,9.351107626,2219.0,21.75063713,172.0,1.7612123694,44.589296216,10357.0,100.0
1013,Alabama,Butler,449.0,12718.633185,23.4,4.6273770571,6.0808851568,13.190383366,21.1,42.0,7.2,36.5,42.722166815,12.821131413,17.0,60.0,28.333333333,206.0,1090.9,34.834992142,1731.0,11.90345207,5.0,26.477439999999998,3777:1,7.0,37.53351,2664:1,16.0,85.79088,1166:1,3396.0,39.0,29.0,11620.0,13266.0,87.592341324,1769.0,4516.0,39.171833481,301.0,8804.0,3.4189004998,33.0,95067.0,19486.0,4.8787334497,1663.0,4234.0,39.277279169,17.0,9.0023300148,107.0,109.92284854,9.1,Yes,11.503759398,9.8697318008,1.1278195489,0.9022556391,86.083310793,7394.0,35.2,73.1898895,449.0,616.9263042,14.0,74.23904974,,,14.1,19.9,14.0,60.0,377.4,2640.0,13.8,1449.1735661,6.9182869438,10.0,17.290269037,40.9,1580.0,15.080652859,167.0,3.9073467478,96.51475,1036:1,205.0,80.0,,2.526134007,2.118341767,0.1212558709,10067.0,-15080.51,34774.0,44714.0,0.7776982601,41852.0,71.062521353,23.850909782,34.165631272,5.0,4.5998160074,17.455434095,11.0,11.883738132,11.300479757,24.0,24.655592197,53.0,38.547416959,16.0,62.917771883,55.8,22.233380245,5047.0,70.775487309,774.0,11.583358276,5599.0,78.51633712,18650.0,22.396782842,21.538873995,8241.0,44.18766756,88.0,0.471849866,280.0,1.5013404826,10.0,0.0536193029,341.0,1.8284182306,9468.0,50.766756032,12.0,0.066938138,53.008042895,13228.0,69.434675345
1015,Alabama,Calhoun,2735.0,13197.258124,20.8,4.4995565219,5.6966110465,9.5094339623,20.8,38.9,5.9,34.1,66.693862128,13.539905755,11.0,105.0,10.476190476,632.0,545.0,25.979876858,12105.0,13.217085581,68.0,58.634840000000004,1705:1,75.0,64.77355,1544:1,183.0,158.04747,633:1,3491.0,33.0,34.0,67148.0,78931.0,85.071771547,15618.0,28632.0,54.547359598,1399.0,46140.0,3.0320762896,26.2,103590.0,21245.0,4.8759708167,7991.0,24423.0,32.719158171,158.0,13.623978202,555.0,97.019321704,9.7,No,10.567646399,9.1768188546,1.2115772941,0.762844963,85.222299481,48898.0,31.1,71.694077832,2735.0,645.43447211,73.0,65.594982433,66.0,7.0716811315,13.5,19.1,12.0,251.0,255.2,18210.0,15.6,18257.803112,15.398072995,80.0,23.320487631,38.1,11102.0,16.572375394,1109.0,4.2906333424,89.81932,1113:1,1218.0,91.971264368,8.1869764928,2.945480411,2.786958409,0.1895589264,10743.0,-10277.2302,39994.0,52719.0,0.7586259223,52772.0,51.176022054,46.056952239,22.746911241,37.0,5.5092316855,10.470133943,128.0,21.957144442,22.375627348,152.0,26.571057476,174.0,21.688134596,30.884955752,57.856332274,63.6,56.022748088,31694.0,70.914908375,4844.0,11.29611492,37248.0,83.341910366,115788.0,21.117905137,18.603827685,25504.0,22.026462155,619.0,0.5345977131,1022.0,0.8826475973,131.0,0.1131378036,5031.0,4.3450098456,81284.0,70.200711645,553.0,0.5042905735,51.35851729,42494.0,36.49401843
1017,Alabama,Chambers,767.0,12135.481512,22.0,4.5047834942,5.8122116703,13.448534936,20.3,43.9,7.2,35.0,63.752444496,12.8128424,9.0,36.0,25.0,223.0,645.6,30.473135525,3396.0,12.62688232,14.0,40.53154,2467:1,7.0,20.53509,4870:1,4.0,11.73433,8522:1,3163.0,30.0,41.0,20619.0,24706.0,83.457459726,4282.0,8261.0,51.833918412,410.0,15933.0,2.5732755915,30.6,97123.0,20500.0,4.7377073171,1819.0,7182.0,25.327206906,61.0,17.66017197,159.0,94.64961783,9.8,No,16.126656848,8.6940298507,7.1428571429,1.1045655376,85.552523874,14660.0,31.1,72.46019745,767.0,581.39426085,31.0,101.63934426,25.0,9.3703148426,13.7,19.5,13.4,106.0,359.6,4630.0,13.3,2772.4374986,8.1029884513,15.0,14.901649116,43.4,3140.0,15.678833575,282.0,3.902034039,26.40225,3788:1,290.0,86.501724138,17.402164863,2.634106621,2.497681651,0.1316636213,11037.0,-26351.235,36279.0,47206.0,0.7685251875,45563.0,66.435024322,31.21146322,33.428439743,12.0,5.8365758755,11.019096943,33.0,18.701803096,19.644260304,40.0,23.811224611,65.0,27.547742357,,58.525751484,58.3,37.197022354,9486.0,72.175302442,1254.0,9.9761336516,10273.0,78.163280834,34088.0,20.719901432,20.725768599,13388.0,39.274818118,143.0,0.4195024642,299.0,0.8771415161,32.0,0.0938746773,1225.0,3.5936399906,18561.0,54.450246421,88.0,0.2705527885,52.32046468,17645.0,50.74485218
